invest,value,capital,firm,year,subject_id,condition
317.6,3078.5,2.8,General Motors,1935.0,0,condition_A
391.8,4661.7,52.6,General Motors,1936.0,0,condition_B
410.6,5387.1,156.9,General Motors,1937.0,1,condition_A
257.7,2792.2,209.2,General Motors,1938.0,1,condition_B
330.8,4313.2,203.4,General Motors,1939.0,2,condition_A
461.2,4643.9,207.2,General Motors,1940.0,2,condition_B
512.0,4551.2,255.2,General Motors,1941.0,3,condition_A
448.0,3244.1,303.7,General Motors,1942.0,3,condition_B
499.6,4053.7,264.1,General Motors,1943.0,4,condition_A
547.5,4379.3,201.6,General Motors,1944.0,4,condition_B
561.2,4840.9,265.0,General Motors,1945.0,5,condition_A
688.1,4900.9,402.2,General Motors,1946.0,5,condition_B
568.9,3526.5,761.5,General Motors,1947.0,6,condition_A
529.2,3254.7,922.4,General Motors,1948.0,6,condition_B
555.1,3700.2,1020.1,General Motors,1949.0,7,condition_A
642.9,3755.6,1099.0,General Motors,1950.0,7,condition_B
755.9,4833.0,1207.7,General Motors,1951.0,8,condition_A
891.2,4924.9,1430.5,General Motors,1952.0,8,condition_B
1304.4,6241.7,1777.3,General Motors,1953.0,9,condition_A
1486.7,5593.6,2226.3,General Motors,1954.0,9,condition_B
209.9,1362.4,53.8,US Steel,1935.0,10,condition_A
355.3,1807.1,50.5,US Steel,1936.0,10,condition_B
469.9,2676.3,118.1,US Steel,1937.0,11,condition_A
262.3,1801.9,260.2,US Steel,1938.0,11,condition_B
230.4,1957.3,312.7,US Steel,1939.0,12,condition_A
361.6,2202.9,254.2,US Steel,1940.0,12,condition_B
472.8,2380.5,261.4,US Steel,1941.0,13,condition_A
445.6,2168.6,298.7,US Steel,1942.0,13,condition_B
361.6,1985.1,301.8,US Steel,1943.0,14,condition_A
288.2,1813.9,279.1,US Steel,1944.0,14,condition_B
258.7,1850.2,213.8,US Steel,1945.0,15,condition_A
420.3,2067.7,132.6,US Steel,1946.0,15,condition_B
420.5,1796.7,264.8,US Steel,1947.0,16,condition_A
494.5,1625.8,306.9,US Steel,1948.0,16,condition_B
405.1,1667.0,351.1,US Steel,1949.0,17,condition_A
418.8,1677.4,357.8,US Steel,1950.0,17,condition_B
588.2,2289.5,342.1,US Steel,1951.0,18,condition_A
645.5,2159.4,444.2,US Steel,1952.0,18,condition_B
641.0,2031.3,623.6,US Steel,1953.0,19,condition_A
459.3,2115.5,669.7,US Steel,1954.0,19,condition_B
33.1,1170.6,97.8,General Electric,1935.0,20,condition_A
45.0,2015.8,104.4,General Electric,1936.0,20,condition_B
77.2,2803.3,118.0,General Electric,1937.0,21,condition_A
44.6,2039.7,156.2,General Electric,1938.0,21,condition_B
48.1,2256.2,172.6,General Electric,1939.0,22,condition_A
74.4,2132.2,186.6,General Electric,1940.0,22,condition_B
113.0,1834.1,220.9,General Electric,1941.0,23,condition_A
91.9,1588.0,287.8,General Electric,1942.0,23,condition_B
61.3,1749.4,319.9,General Electric,1943.0,24,condition_A
56.8,1687.2,321.3,General Electric,1944.0,24,condition_B
93.6,2007.7,319.6,General Electric,1945.0,25,condition_A
159.9,2208.3,346.0,General Electric,1946.0,25,condition_B
147.2,1656.7,456.4,General Electric,1947.0,26,condition_A
146.3,1604.4,543.4,General Electric,1948.0,26,condition_B
98.3,1431.8,618.3,General Electric,1949.0,27,condition_A
93.5,1610.5,647.4,General Electric,1950.0,27,condition_B
135.2,1819.4,671.3,General Electric,1951.0,28,condition_A
157.3,2079.7,726.1,General Electric,1952.0,28,condition_B
179.5,2371.6,800.3,General Electric,1953.0,29,condition_A
189.6,2759.9,888.9,General Electric,1954.0,29,condition_B
40.29,417.5,10.5,Chrysler,1935.0,30,condition_A
72.76,837.8,10.2,Chrysler,1936.0,30,condition_B
66.26,883.9,34.7,Chrysler,1937.0,31,condition_A
51.6,437.9,51.8,Chrysler,1938.0,31,condition_B
52.41,679.7,64.3,Chrysler,1939.0,32,condition_A
69.41,727.8,67.1,Chrysler,1940.0,32,condition_B
68.35,643.6,75.2,Chrysler,1941.0,33,condition_A
46.8,410.9,71.4,Chrysler,1942.0,33,condition_B
47.4,588.4,67.1,Chrysler,1943.0,34,condition_A
59.57,698.4,60.5,Chrysler,1944.0,34,condition_B
88.78,846.4,54.6,Chrysler,1945.0,35,condition_A
74.12,893.8,84.8,Chrysler,1946.0,35,condition_B
62.68,579.0,96.8,Chrysler,1947.0,36,condition_A
89.36,694.6,110.2,Chrysler,1948.0,36,condition_B
78.98,590.3,147.4,Chrysler,1949.0,37,condition_A
100.66,693.5,163.2,Chrysler,1950.0,37,condition_B
160.62,809.0,203.5,Chrysler,1951.0,38,condition_A
145.0,727.0,290.6,Chrysler,1952.0,38,condition_B
174.93,1001.5,346.1,Chrysler,1953.0,39,condition_A
172.49,703.2,414.9,Chrysler,1954.0,39,condition_B
39.68,157.7,183.2,Atlantic Refining,1935.0,40,condition_A
50.73,167.9,204.0,Atlantic Refining,1936.0,40,condition_B
74.24,192.9,236.0,Atlantic Refining,1937.0,41,condition_A
53.51,156.7,291.7,Atlantic Refining,1938.0,41,condition_B
42.65,191.4,323.1,Atlantic Refining,1939.0,42,condition_A
46.48,185.5,344.0,Atlantic Refining,1940.0,42,condition_B
61.4,199.6,367.7,Atlantic Refining,1941.0,43,condition_A
39.67,189.5,407.2,Atlantic Refining,1942.0,43,condition_B
62.24,151.2,426.6,Atlantic Refining,1943.0,44,condition_A
52.32,187.7,470.0,Atlantic Refining,1944.0,44,condition_B
63.21,214.7,499.2,Atlantic Refining,1945.0,45,condition_A
59.37,232.9,534.6,Atlantic Refining,1946.0,45,condition_B
58.02,249.0,566.6,Atlantic Refining,1947.0,46,condition_A
70.34,224.5,595.3,Atlantic Refining,1948.0,46,condition_B
67.42,237.3,631.4,Atlantic Refining,1949.0,47,condition_A
55.74,240.1,662.3,Atlantic Refining,1950.0,47,condition_B
80.3,327.3,683.9,Atlantic Refining,1951.0,48,condition_A
85.4,359.4,729.3,Atlantic Refining,1952.0,48,condition_B
91.9,398.4,774.3,Atlantic Refining,1953.0,49,condition_A
81.43,365.7,804.9,Atlantic Refining,1954.0,49,condition_B
20.36,197.0,6.5,IBM,1935.0,50,condition_A
25.98,210.3,15.8,IBM,1936.0,50,condition_B
25.94,223.1,27.7,IBM,1937.0,51,condition_A
27.53,216.7,39.2,IBM,1938.0,51,condition_B
24.6,286.4,48.6,IBM,1939.0,52,condition_A
28.54,298.0,52.5,IBM,1940.0,52,condition_B
43.41,276.9,61.5,IBM,1941.0,53,condition_A
42.81,272.6,80.5,IBM,1942.0,53,condition_B
27.84,287.4,94.4,IBM,1943.0,54,condition_A
32.6,330.3,92.6,IBM,1944.0,54,condition_B
39.03,324.4,92.3,IBM,1945.0,55,condition_A
50.17,401.9,94.2,IBM,1946.0,55,condition_B
51.85,407.4,111.4,IBM,1947.0,56,condition_A
64.03,409.2,127.4,IBM,1948.0,56,condition_B
68.16,482.2,149.3,IBM,1949.0,57,condition_A
77.34,673.8,164.4,IBM,1950.0,57,condition_B
95.3,676.9,177.2,IBM,1951.0,58,condition_A
99.49,702.0,200.0,IBM,1952.0,58,condition_B
127.52,793.5,211.5,IBM,1953.0,59,condition_A
135.72,927.3,238.7,IBM,1954.0,59,condition_B
24.43,138.0,100.2,Union Oil,1935.0,60,condition_A
23.21,200.1,125.0,Union Oil,1936.0,60,condition_B
32.78,210.1,142.4,Union Oil,1937.0,61,condition_A
32.54,161.2,165.1,Union Oil,1938.0,61,condition_B
26.65,161.7,194.8,Union Oil,1939.0,62,condition_A
33.71,145.1,222.9,Union Oil,1940.0,62,condition_B
43.5,110.6,252.1,Union Oil,1941.0,63,condition_A
34.46,98.1,276.3,Union Oil,1942.0,63,condition_B
44.28,108.8,300.3,Union Oil,1943.0,64,condition_A
70.8,118.2,318.2,Union Oil,1944.0,64,condition_B
44.12,126.5,336.2,Union Oil,1945.0,65,condition_A
48.98,156.7,351.2,Union Oil,1946.0,65,condition_B
48.51,119.4,373.6,Union Oil,1947.0,66,condition_A
50.0,129.1,389.4,Union Oil,1948.0,66,condition_B
50.59,134.8,406.7,Union Oil,1949.0,67,condition_A
42.53,140.8,429.5,Union Oil,1950.0,67,condition_B
64.77,179.0,450.6,Union Oil,1951.0,68,condition_A
72.68,178.1,466.9,Union Oil,1952.0,68,condition_B
73.86,186.8,486.2,Union Oil,1953.0,69,condition_A
89.51,192.7,511.3,Union Oil,1954.0,69,condition_B
12.93,191.5,1.8,Westinghouse,1935.0,70,condition_A
25.9,516.0,0.8,Westinghouse,1936.0,70,condition_B
35.05,729.0,7.4,Westinghouse,1937.0,71,condition_A
22.89,560.4,18.1,Westinghouse,1938.0,71,condition_B
18.84,519.9,23.5,Westinghouse,1939.0,72,condition_A
28.57,628.5,26.5,Westinghouse,1940.0,72,condition_B
48.51,537.1,36.2,Westinghouse,1941.0,73,condition_A
43.34,561.2,60.8,Westinghouse,1942.0,73,condition_B
37.02,617.2,84.4,Westinghouse,1943.0,74,condition_A
37.81,626.7,91.2,Westinghouse,1944.0,74,condition_B
39.27,737.2,92.4,Westinghouse,1945.0,75,condition_A
53.46,760.5,86.0,Westinghouse,1946.0,75,condition_B
55.56,581.4,111.1,Westinghouse,1947.0,76,condition_A
49.56,662.3,130.6,Westinghouse,1948.0,76,condition_B
32.04,583.8,141.8,Westinghouse,1949.0,77,condition_A
32.24,635.2,136.7,Westinghouse,1950.0,77,condition_B
54.38,723.8,129.7,Westinghouse,1951.0,78,condition_A
71.78,864.1,145.5,Westinghouse,1952.0,78,condition_B
90.08,1193.5,174.8,Westinghouse,1953.0,79,condition_A
68.6,1188.9,213.5,Westinghouse,1954.0,79,condition_B
26.63,290.6,162.0,Goodyear,1935.0,80,condition_A
23.39,291.1,174.0,Goodyear,1936.0,80,condition_B
30.65,335.0,183.0,Goodyear,1937.0,81,condition_A
20.89,246.0,198.0,Goodyear,1938.0,81,condition_B
28.78,356.2,208.0,Goodyear,1939.0,82,condition_A
26.93,289.8,223.0,Goodyear,1940.0,82,condition_B
32.08,268.2,234.0,Goodyear,1941.0,83,condition_A
32.21,213.3,248.0,Goodyear,1942.0,83,condition_B
35.69,348.2,274.0,Goodyear,1943.0,84,condition_A
62.47,374.2,282.0,Goodyear,1944.0,84,condition_B
52.32,387.2,316.0,Goodyear,1945.0,85,condition_A
56.95,347.4,302.0,Goodyear,1946.0,85,condition_B
54.32,291.9,333.0,Goodyear,1947.0,86,condition_A
40.53,297.2,359.0,Goodyear,1948.0,86,condition_B
32.54,276.9,370.0,Goodyear,1949.0,87,condition_A
43.48,274.6,376.0,Goodyear,1950.0,87,condition_B
56.49,339.9,391.0,Goodyear,1951.0,88,condition_A
65.98,474.8,414.0,Goodyear,1952.0,88,condition_B
66.11,496.0,443.0,Goodyear,1953.0,89,condition_A
49.34,474.5,468.0,Goodyear,1954.0,89,condition_B
2.54,70.91,4.5,Diamond Match,1935.0,90,condition_A
2.0,87.94,4.71,Diamond Match,1936.0,90,condition_B
2.19,82.2,4.57,Diamond Match,1937.0,91,condition_A
1.99,58.72,4.56,Diamond Match,1938.0,91,condition_B
2.03,80.54,4.38,Diamond Match,1939.0,92,condition_A
1.81,86.47,4.21,Diamond Match,1940.0,92,condition_B
2.14,77.68,4.12,Diamond Match,1941.0,93,condition_A
1.86,62.16,3.83,Diamond Match,1942.0,93,condition_B
0.93,62.24,3.58,Diamond Match,1943.0,94,condition_A
1.18,61.82,3.41,Diamond Match,1944.0,94,condition_B
1.36,65.85,3.31,Diamond Match,1945.0,95,condition_A
2.24,69.54,3.23,Diamond Match,1946.0,95,condition_B
3.81,64.97,3.9,Diamond Match,1947.0,96,condition_A
5.66,68.0,5.38,Diamond Match,1948.0,96,condition_B
4.21,71.24,7.39,Diamond Match,1949.0,97,condition_A
3.42,69.05,8.74,Diamond Match,1950.0,97,condition_B
4.67,83.04,9.07,Diamond Match,1951.0,98,condition_A
6.0,74.42,9.93,Diamond Match,1952.0,98,condition_B
6.53,63.51,11.68,Diamond Match,1953.0,99,condition_A
5.12,58.12,14.33,Diamond Match,1954.0,99,condition_B
2.938,30.284,52.011,American Steel,1935.0,100,condition_A
5.643,43.909,52.903,American Steel,1936.0,100,condition_B
10.233,107.02,54.499,American Steel,1937.0,101,condition_A
4.046,68.306,59.722,American Steel,1938.0,101,condition_B
3.326,84.164,61.659,American Steel,1939.0,102,condition_A
4.68,69.157,62.243,American Steel,1940.0,102,condition_B
5.732,60.148,63.361,American Steel,1941.0,103,condition_A
12.117,49.332,64.861,American Steel,1942.0,103,condition_B
15.276,75.18,67.953,American Steel,1943.0,104,condition_A
9.275,62.05,69.59,American Steel,1944.0,104,condition_B
9.577,59.152,69.144,American Steel,1945.0,105,condition_A
3.956,68.424,70.269,American Steel,1946.0,105,condition_B
3.834,48.505,71.051,American Steel,1947.0,106,condition_A
5.97,40.507,71.508,American Steel,1948.0,106,condition_B
6.433,39.961,73.827,American Steel,1949.0,107,condition_A
4.77,36.494,75.847,American Steel,1950.0,107,condition_B
6.532,46.082,77.367,American Steel,1951.0,108,condition_A
7.329,57.616,78.631,American Steel,1952.0,108,condition_B
9.02,57.441,80.215,American Steel,1953.0,109,condition_A
6.281,47.165,83.788,American Steel,1954.0,109,condition_B
